seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.55,complete,0.156147,0.00336648,0.149549,0.162745,0.401341,-0.245195,false,true,scipy_anchored_t2,true,0.00500937,0.995349,1.12425,0.999,0.853,0.146,11.5896,1,0.922,0.078,1.312,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.0,0.0314116,0.0005448,0.0303438,0.0324794,0.401341,-0.36993,false,false,scipy_anchored_t2,true,0.00535392,0.996889,0.30458,0.902,0.888,0.014,33.7395,1,0.995,0.005,1.323,n_10/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.1,0.0372749,0.000795157,0.0357164,0.0388334,0.401341,-0.364066,false,true,scipy_anchored_t2,true,0.00610682,0.994221,0.483087,0.825,0.79,0.035,29.3952,1,0.984,0.016,1.293,n_10/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_0/metrics.json
1,10,0.55,complete,0.102967,0.00356223,0.0959849,0.109949,0.401341,-0.298375,false,true,scipy_anchored_t2,true,0.00801292,0.990332,0.178708,1,0.983,0.017,1,1,0.986,0.014,1,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.0,0.0289875,0.000495829,0.0280157,0.0299593,0.401341,-0.372354,false,true,scipy_anchored_t2,true,0.00457507,0.997283,0.148174,0.829,0.79,0.039,30.5223,1,0.984,0.016,1.319,n_10/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.1,0.0222126,0.000191572,0.0218371,0.0225881,0.401341,-0.379129,false,false,scipy_anchored_t2,true,0.00228365,0.999537,0.111177,0.896,0.857,0.039,30.7165,1,0.99,0.01,1.373,n_10/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_1/metrics.json
2,10,0.55,complete,0.067093,0.0021449,0.0628891,0.071297,0.401341,-0.334248,false,true,scipy_anchored_t2,true,0.00580765,0.994586,0.609867,0.987,0.9,0.087,12.1641,1,0.946,0.054,1.317,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.0,0.0259226,0.000427021,0.0250857,0.0267596,0.401341,-0.375419,false,false,scipy_anchored_t2,true,0.00444069,0.997853,0.451638,0.869,0.852,0.017,36.4246,1,0.989,0.011,1.339,n_10/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.1,0.0325892,0.000394535,0.0318159,0.0333624,0.401341,-0.368752,false,false,scipy_anchored_t2,true,0.0041203,0.998408,0.576164,0.92,0.913,0.007,35.6217,1,0.999,0.001,1.301,n_10/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_2/metrics.json
3,10,0.55,complete,0.0594599,0.00228705,0.0549774,0.0639424,0.401341,-0.341881,false,true,scipy_anchored_t2,true,0.00695543,0.993318,0.603306,0.989,0.912,0.077,10.6613,1,0.965,0.035,1.285,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p55/seed_3/metrics.json
