seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.8,complete,2.41282,0.0616322,2.29202,2.53361,2.77259,-0.359771,false,false,scipy_anchored_t2,true,0.000209644,0.998579,0.0610674,1,0.996,0.004,2.175,1,0.996,0.004,1.033,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.0,1.11061,0.0371871,1.03772,1.18349,2.77259,-1.66198,false,false,scipy_anchored_t2,true,0.000838011,0.999356,0.0256341,1,1,0,2.747,1,1,0,1.035,n_10/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.1,1.19596,0.0338673,1.12958,1.26234,2.77259,-1.57663,false,false,scipy_anchored_t2,true,0.000612469,0.99969,0.0208959,1,1,0,2.708,1,1,0,1.033,n_10/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
1,10,0.8,complete,2.37966,0.110173,2.16373,2.5956,2.77259,-0.392927,false,false,scipy_anchored_t2,true,0.000166911,0.999913,0.0141482,1,1,0,2.25,1,1,0,1.035,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.0,1.05694,0.0366719,0.985062,1.12881,2.77259,-1.71565,false,false,scipy_anchored_t2,true,0.000909398,0.999296,0.0146539,1,1,0,2.74,1,1,0,1.045,n_10/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.1,1.16314,0.0138097,1.13608,1.19021,2.77259,-1.60944,false,false,scipy_anchored_t2,true,0.000322561,0.999897,0.0126425,1,1,0,2.716,1,1,0,1.04,n_10/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_1/metrics.json
2,10,0.8,complete,1.56957,0.00984815,1.55027,1.58887,2.77259,-1.20302,false,false,scipy_anchored_t2,true,4.03195e-05,0.999789,0.0283495,1,0.997,0.003,1.995,1,0.997,0.003,1.027,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_2/metrics.json
2,10,0.8,ws_p_0.0,1.13808,0.023044,1.09291,1.18324,2.77259,-1.63451,false,false,scipy_anchored_t2,true,0.000507993,0.999767,0.0301988,1,1,0,2.661,1,1,0,1.029,n_10/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_2/metrics.json
2,10,0.8,ws_p_0.1,0.996886,0.0168149,0.963929,1.02984,2.77259,-1.7757,false,false,scipy_anchored_t2,true,0.000466479,0.999776,0.0299361,1,1,0,2.784,1,1,0,1.031,n_10/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_2/metrics.json
3,10,0.8,complete,2.66267,0.157017,2.35492,2.97042,2.77259,-0.109921,false,false,scipy_anchored_t2,true,0.000154834,0.999898,0.00963341,1,1,0,2.072,1,1,0,1.047,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_3/metrics.json
